Engagement metrics for individual posts. Created date indicates when your post was created. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Post title,Post link,Post type,Campaign name,Posted by,Created date,Campaign start date,Campaign end date,Audience,Impressions,Views,Offsite Views,Clicks,Click through rate (CTR),Likes,Comments,Reposts,Follows,Engagement rate,Content Type
"Spring is finally here! Today's the first day of spring and we, at Cognito, are celebrating with a question-and-answer session with our Athletic Trainers. So, stay tuned, as we bring you an inside look at what they have to say about working for the Army.

#H2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring",https://www.linkedin.com/feed/update/urn:li:activity:7043630874524807168,Organic,,Bethel Domfeh,03/20/2023,,,All followers,203,,,7,0.034482758,6,0,0,,0.064039409,
"Looking for a career in athletic training? Want to make sure you're applying for the right jobs? Check out this video for tips on how to be prepared and competitive interviewee, as well as learn about an exciting opportunity to gain valuable experience.

Please visit our site to see our latest athletic training vacancies: https://lnkd.in/e_aRNSMv 

#H2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring 
",https://www.linkedin.com/feed/update/urn:li:activity:7038892850452819969,Organic,,Bethel Domfeh,03/07/2023,,,All followers,224,145,,10,0.044642858,9,2,2,,0.102678575,Video
"We want to thank everyone who visited our booth at the Southeast Athletic Trainers' Association (SEATA) conference last month. We had a great time talking with you all, and hope that we can support you further in building your career. 

Please visit our site to see our latest athletic training vacancies: https://lnkd.in/e_aRNSMv 

#H2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring ",https://www.linkedin.com/feed/update/urn:li:activity:7038531948528443392,Organic,,Bethel Domfeh,03/06/2023,,,All followers,207,,,3,0.014492754,12,0,0,,0.072463766,
Happy Employee Appreciation Day!!,https://www.linkedin.com/feed/update/urn:li:activity:7037577319548416000,Organic,,Dr. Kim Thomas,03/04/2023,,,All followers,110,,,1,0.009090909,2,0,0,,0.027272727,
"March is National Athletic Trainer Month​, and we want to celebrate the hard work and dedication of athletic trainers everywhere. This month, we are sharing more about what they do and the role they play in their healthcare teams.
 
Want to learn more about our open athletic training opportunities? Visit our website to apply! https://lnkd.in/e_aRNSMv

#H2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring
",https://www.linkedin.com/feed/update/urn:li:activity:7037100313220120577,Organic,,Bethel Domfeh,03/02/2023,,,All followers,195,,,11,0.056410257,9,0,1,,0.107692309,
,https://www.linkedin.com/feed/update/urn:li:activity:7037058644055654401,Organic,,Dr. Kim Thomas,03/02/2023,,,All followers,110,,,0,0,4,0,0,,0.036363635,
"Want a job where you can make a difference? At Cognito, we understand that the health of our Soldiers is important. 

We are looking for full-time certified Athletic Trainers (AT) to join our team at several military bases. The AT will work at a military base supporting basic acute care, injury control, reconditioning, and performance optimization. 

Visit our website to apply to our openings! https://lnkd.in/e_aRNSMv 

#H2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring",https://www.linkedin.com/feed/update/urn:li:activity:7036777626887188480,Organic,,Bethel Domfeh,03/01/2023,,,All followers,144,,,7,0.048611112,7,0,1,,0.104166664,
"Caroline Durocher is a Certified Athletic Trainer who recently joined our team at Joint Base Lewis McChord, WA as a member of the 62nd Medical Brigade. As an Athletic Trainer for the Holistic Health and Fitness team, she helps Service Members overcome musculoskeletal injuries and return to effective duty. 

Learn more about our team and Athletic Training career opportunities here: https://lnkd.in/e_aRNSMv 

#HEARTH2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #H2F #AthleticTrainerJobs #Hiring",https://www.linkedin.com/feed/update/urn:li:activity:7032043369845415936,Organic,,Bethel Domfeh,02/16/2023,,,All followers,320,,,13,0.040624999,11,0,0,,0.075000003,
"Krisha Rushing is a Certified Athletic Trainer and works for the 16th Military Police Brigade, located at Fort Stewart, GA. She assists in the rehabilitative care of active-duty Service Members throughout the 385th Battalion.

Learn more about our rehabilitation team and Athletic Training career opportunities here: https://lnkd.in/eXnU-RNe 


#HEARTH2F #MeetTheTeam #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #H2F #AthleticTrainerJobs #Hiring
 ",https://www.linkedin.com/feed/update/urn:li:activity:7031640341694803968,Organic,,Bethel Domfeh,02/15/2023,,,All followers,446,,,28,0.062780268,24,1,1,,0.121076234,
"Are you looking for a challenging, yet rewarding job? Do you want to make a difference in the lives of our nation’s heroes? We have an opportunity that is perfect for you! Cognito Systems is seeking full-time certified Athletic Trainer (AT) to join our team at several military bases.

Visit our website to apply: https://lnkd.in/e_aRNSMv 

#H2F #H2FCommunity #AthleticTrainers #USArmy #holistichealthandfitness #AthleticTrainerJobs #Hiring ",https://www.linkedin.com/feed/update/urn:li:activity:7030947228730957824,Organic,,Bethel Domfeh,02/13/2023,,,All followers,206,,,13,0.063106798,5,0,1,,0.09223301,
