Interests,Users,New users,Engaged sessions,Engagement rate,Engaged sessions per user,Average engagement time,Event count,Conversions,Total revenue
News & Politics/Avid News Readers,21,20,11,0.392857143,0.523809524,37.33333333,150,7,0
Media & Entertainment/TV Lovers,16,16,6,0.272727273,0.375,17.9375,92,2,0
Media & Entertainment/Movie Lovers,15,15,4,0.235294118,0.266666667,10.8,68,0,0
Sports & Fitness/Sports Fans/Fans of American Football,14,13,9,0.428571429,0.642857143,29.5,109,6,0
Media & Entertainment/Light TV Viewers,13,13,4,0.266666667,0.307692308,12.61538462,55,0,0
News & Politics/Avid News Readers/Entertainment News Enthusiasts,12,12,0,0,0,0.166666667,46,0,0
Travel/Travel Buffs,11,11,4,0.307692308,0.363636364,39.63636364,59,3,0
Food & Dining/Cooking Enthusiasts/Aspiring Chefs,10,10,2,0.166666667,0.2,7.1,50,0,0
